SA3_NAME_UR,Brunswick - Coburg,Darebin - South,Essendon,Melbourne City,Port Phillip,Stonnington - West,Yarra,Boroondara,Manningham - West,Whitehorse - West,Bayside,Glen Eira,Kingston,Stonnington - East,Banyule,Darebin - North,Nillumbik - Kinglake,Whittlesea - Wallan,Keilor,Macedon Ranges,Moreland - North,Sunbury,Tullamarine - Broadmeadows,Knox,Manningham - East,Maroondah,Whitehorse - East,Yarra Ranges,Cardinia,Casey - North,Casey - South,Dandenong,Monash,Brimbank,Hobsons Bay,Maribyrnong,Melton - Bacchus Marsh,Wyndham,Frankston
Brunswick - Coburg,1456,115,365,3144,725,111,1002,176,66,122,20,88,54,58,266,338,25,179,468,9,309,29,689,48,0,47,47,27,7,7,0,13,118,253,136,382,70,86,7
Darebin - South,112,1546,70,1748,476,125,1011,255,121,169,27,67,33,62,617,671,71,347,108,5,84,10,299,77,8,64,50,16,0,20,7,26,125,90,50,134,25,47,19
Essendon,98,57,2565,3486,860,137,618,138,40,73,47,65,26,67,145,200,7,171,653,14,152,32,754,39,0,35,35,7,0,3,0,7,135,445,247,897,122,195,10
Melbourne City,115,95,327,11463,1937,401,1619,438,91,275,141,201,108,190,224,214,10,132,236,7,62,12,520,130,3,89,108,30,0,59,4,55,327,342,290,713,79,248,58
Port Phillip,23,49,127,4971,9558,1072,1003,575,71,228,777,1172,586,484,176,138,9,79,224,0,21,6,439,219,0,77,101,14,10,101,30,216,705,224,307,397,80,268,139
Stonnington - West,18,23,30,2649,1604,3899,592,560,52,170,255,556,242,592,105,76,3,37,55,5,15,3,135,171,0,52,60,8,8,68,9,104,522,70,89,125,10,80,56
Yarra,138,151,87,4223,1079,340,5455,449,100,244,64,156,62,140,386,339,35,187,101,8,42,3,275,122,9,136,86,53,4,28,3,57,241,140,83,311,14,74,26
Boroondara,38,188,79,5178,1860,897,1374,12035,867,2188,251,562,427,1385,871,473,71,298,177,14,102,5,411,852,71,581,635,166,19,181,31,391,1900,167,188,278,45,127,112
Manningham - West,71,204,51,1945,697,181,707,1247,5189,1446,35,91,171,209,1067,488,239,444,157,3,132,4,423,514,150,529,588,170,8,69,12,157,681,124,91,133,36,62,45
Whitehorse - West,32,93,42,2940,990,308,760,2797,890,8672,110,340,381,552,583,254,82,168,84,0,36,0,226,1163,137,1082,1807,346,16,202,33,411,1917,63,74,152,15,63,104
Bayside,16,43,35,3068,2490,644,425,517,38,209,9879,1713,2409,531,52,61,4,25,89,0,12,0,232,258,0,87,86,15,18,123,27,466,1003,101,164,166,24,100,391
Glen Eira,29,43,78,5137,3717,1717,904,1262,85,596,1817,11882,2050,1874,174,123,0,81,128,3,19,6,244,504,0,144,204,88,19,300,47,898,2392,164,227,280,34,153,320
Kingston,0,23,27,2379,1525,409,343,461,73,330,2179,1358,12106,566,85,73,3,41,61,0,11,9,147,702,0,205,181,57,41,563,269,1316,1910,26,118,93,30,76,2232
Stonnington - East,9,37,38,1855,975,950,349,952,58,290,223,720,283,3556,107,62,8,33,57,0,11,0,92,238,5,92,101,26,9,109,33,234,941,39,61,71,9,60,84
Banyule,124,740,209,4470,1342,233,1580,1269,1243,1044,56,176,139,193,14453,2942,1768,3102,604,6,336,33,1893,425,112,453,384,143,4,76,9,134,667,267,211,326,82,212,63
Darebin - North,130,488,140,1918,552,118,1003,238,202,211,30,56,60,61,1087,3425,100,1048,267,4,249,15,763,76,12,86,57,24,3,22,0,31,177,140,85,193,42,51,24
Nillumbik - Kinglake,47,255,44,1839,562,99,529,541,849,657,11,56,83,72,3914,957,7782,2311,412,0,126,15,1391,406,279,641,320,428,5,25,0,72,379,103,98,109,40,101,15
Whittlesea - Wallan,131,497,248,2488,917,120,960,351,388,345,34,66,84,105,2922,2665,717,13625,1126,41,697,74,5736,168,22,151,116,34,0,36,0,65,289,452,332,376,176,378,6
Keilor,114,68,965,2741,909,109,429,139,31,65,23,48,58,47,227,242,24,351,5248,38,345,95,2223,75,0,36,17,15,0,13,0,28,119,1403,446,1534,347,501,11
Macedon Ranges,11,22,90,789,295,26,117,35,19,20,0,5,16,8,48,71,11,220,623,4392,60,761,1196,20,0,7,0,4,0,11,0,11,31,397,145,201,373,204,3
Moreland - North,251,169,431,2536,846,85,561,186,94,100,23,56,49,46,396,567,40,630,1003,20,2900,44,2222,53,8,32,25,9,3,15,0,29,168,397,197,453,131,234,6
Sunbury,36,33,179,1125,406,25,178,37,14,42,11,23,39,32,111,139,20,347,1416,674,141,4988,2380,28,0,8,13,3,0,12,0,12,75,949,292,370,525,400,0
Tullamarine - Broadmeadows,241,193,709,3226,1222,119,623,203,125,135,38,56,83,39,827,994,132,2960,3725,49,1247,196,18841,100,0,58,62,16,0,13,4,47,222,1087,559,916,344,669,25
Knox,19,75,26,2350,1196,340,502,1495,488,2564,220,551,1263,789,358,169,62,141,103,0,19,7,231,20087,148,4257,2264,2069,125,1294,222,1576,5816,62,140,117,50,126,551
Manningham - East,12,48,6,639,240,43,218,409,664,651,15,29,77,63,271,97,118,126,38,0,23,5,119,577,2007,1250,573,425,0,76,6,65,395,42,27,26,11,24,29
Maroondah,32,102,30,2355,842,215,668,1338,819,2805,65,182,432,313,552,235,131,181,99,0,32,0,227,5345,520,14419,2407,3764,53,320,48,381,2085,54,91,102,22,73,211
Whitehorse - East,13,54,31,1763,595,184,378,1055,555,2493,59,191,309,279,268,112,52,92,63,0,18,0,143,1709,154,1560,4949,488,32,179,38,376,1677,46,56,71,7,41,98
Yarra Ranges,12,81,26,1740,692,185,498,1027,481,2079,66,206,498,270,377,148,239,147,93,0,12,0,254,7672,343,8899,1833,26568,364,808,95,511,2023,36,86,64,23,73,242
Cardinia,7,0,6,380,183,50,77,126,45,182,56,102,409,116,24,15,3,10,10,0,0,0,27,1072,0,275,113,715,5769,2325,554,417,810,13,31,16,4,20,380
Casey - North,4,19,33,1184,669,227,229,510,115,500,223,473,1768,469,57,58,11,62,54,0,3,0,122,2200,21,550,379,359,741,11156,765,1898,2882,41,93,94,20,80,911
Casey - South,4,27,0,636,396,133,100,196,43,227,232,263,1555,198,18,19,0,24,39,0,5,0,54,930,14,271,136,83,284,1908,5427,1039,1343,21,63,25,21,45,2694
Dandenong,21,53,47,1836,1051,422,309,625,126,735,864,1360,4569,863,122,88,11,87,74,4,28,0,125,1795,32,456,374,201,72,1157,529,8915,4419,98,140,123,56,71,884
Monash,6,56,63,4047,2055,805,727,2019,328,2141,529,1558,1727,2065,287,189,24,159,113,7,36,0,279,2743,64,911,1081,275,77,870,206,2250,16014,141,179,268,37,159,495
Brimbank,113,137,879,4545,2093,216,832,254,87,131,109,167,109,153,327,494,36,993,3433,95,427,240,3707,125,4,56,57,31,0,17,3,104,288,14212,2489,5042,2195,2959,28
Hobsons Bay,31,36,253,3875,2350,236,591,279,45,112,86,145,117,135,96,129,6,166,517,3,88,28,728,71,10,15,31,4,0,32,0,56,288,1487,9632,2542,425,2889,13
Maribyrnong,101,78,733,5299,2150,306,1058,336,56,179,73,230,120,143,141,247,6,271,717,19,121,51,1006,113,4,40,84,12,4,34,5,43,270,1985,1558,8005,401,1120,22
Melton - Bacchus Marsh,35,74,482,3415,1845,147,485,164,37,86,33,73,88,75,215,327,31,594,2635,304,278,404,2662,91,6,31,27,3,0,38,3,42,282,5780,2105,2585,14175,2866,18
Wyndham,54,38,254,3509,2323,168,499,261,33,123,51,149,125,114,92,173,0,219,819,13,101,31,1069,89,0,36,50,16,4,20,0,74,294,2196,3951,2023,952,16038,17
Frankston,8,16,23,1298,828,254,237,344,88,381,842,729,4881,322,68,50,18,60,57,0,16,4,68,1172,0,377,225,137,150,1432,1281,1359,1988,55,101,65,21,97,20701
Mornington Peninsula,4,30,14,784,562,138,124,239,76,206,315,218,1443,160,92,35,9,37,32,0,4,0,83,568,14,192,100,71,81,579,663,500,917,31,50,37,7,60,6036
