SA3_Code,SA3_Name,SA3_pop
20601,Brunswick - Coburg,91088
20602,Darebin - South,53881
20603,Essendon,69440
20604,Melbourne City,153655
20605,Port Phillip,103528
20606,Stonnington - West,63575
20607,Yarra,92504
20701,Boroondara,169901
20702,Manningham - West,99311
20703,Whitehorse - West,108501
20801,Bayside,102337
20802,Glen Eira,158329
20803,Kingston,123787
20804,Stonnington - East,42703
20901,Banyule,127376
20902,Darebin - North,96454
20903,Nillumbik - Kinglake,67689
20904,Whittlesea - Wallan,254732
21001,Keilor,62120
21002,Macedon Ranges,33198
21003,Moreland - North,81492
21004,Sunbury,45444
21005,Tullamarine - Broadmeadows,206700
21101,Knox,160523
21102,Manningham - East,26589
21103,Maroondah,115615
21104,Whitehorse - East,63450
21105,Yarra Ranges,156600
21201,Cardinia,119669
21202,Casey - North,138680
21203,Casey - South,230773
21204,Dandenong,195951
21205,Monash,185407
21301,Brimbank,188119
21302,Hobsons Bay,87464
21303,Maribyrnong,86398
21304,Melton - Bacchus Marsh,200971
21305,Wyndham,301004
21401,Frankston,140809
21402,Mornington Peninsula,170390
